symbol,timestamp_utc,last,high24h,low24h,vol24h_base,vol24h_quote,trend_1d,trend_4h,trend_15m,ema_1d_5,ema_1d_10,ema_1d_20,ema_4h_5,ema_4h_10,ema_4h_20,swing_1d_high,swing_1d_low,swing_4h_high,swing_4h_low,above_alerts,below_alerts,best_ask,best_bid,spread,ask_wall_top10,bid_wall_top10,buy_ratio_top10,status,trigger_buy,limit,sl,tp1,tp2,risk_usdt,reward_tp1_usdt,reward_tp2_usdt,rr_tp1,rr_tp2,fb_4h_0.236,fb_4h_0.382,fb_4h_0.500,fb_4h_0.618,fb_4h_0.786,fb_4h_1.000
BTC-USDT,2026-06-27T15:35:06+00:00,60807.0,60914.0,59558.0,4004.77339603,241082547.956302,below_1d_ema20,bullish,bullish,61040.0,61979.0,63574.0,60465.0,60398.0,60756.0,74335.0,58110.0,65630.0,58110.0,60914.0; 62757.0; 63574.0,60756.0; 59885.0; 59558.0,60796.0,60795.0,0.09999999999854481,60796.0,60795.0,0.232,NO,60914.0,60975.0,59532.0,62757.0,63574.0,20.42,27.23,39.3,1.33,1.92,59885.0,60982.0,61870.0,62757.0,64020.0,65630.0
SOL-USDT,2026-06-27T15:35:08+00:00,72.88,73.93,71.36,889819.776421,64437784.09420988,bullish,bullish,bullish,70.845,70.586,71.184,72.159,71.384,70.633,83.4,60.11,75.0,64.05,73.93; 75.0,71.36; 70.633; 70.586,72.86,72.85,0.010000000000005116,72.92,72.78,0.505,NO,73.93,74.003,70.399,75.0,78.441,42.99,13.03,54.92,0.3,1.28,66.634,68.233,69.525,70.817,72.657,75.0
ETH-USDT,2026-06-27T15:35:10+00:00,1604.0,1609.0,1567.0,80252.893142,127049029.0569289,below_1d_ema20,bullish,bullish,1616.0,1649.0,1702.0,1589.0,1587.0,1602.0,2046.0,1504.0,1780.0,1512.0,1609.0; 1678.0; 1702.0,1602.0; 1575.0; 1567.0,1604.0,1604.0,0.009999999999990905,1604.0,1604.0,0.488,NO,1609.0,1611.0,1563.0,1678.0,1702.0,25.73,38.6,52.02,1.5,2.02,1575.0,1614.0,1646.0,1678.0,1723.0,1780.0
LINK-USDT,2026-06-27T15:35:11+00:00,7.455,7.462,7.287,205192.239903,1509077.753339894,below_1d_ema20,bullish,bullish,7.466,7.617,7.853,7.386,7.362,7.403,9.312,6.995,8.153,7.009,7.462; 7.716; 7.853,7.446; 7.403; 7.287,7.457,7.456,0.0009999999999994458,7.461,7.447,0.612,WATCH_TRIGGER,7.462,7.469,7.27,7.716,7.853,23.16,30.64,47.16,1.32,2.04,7.279,7.446,7.581,7.716,7.908,8.153
AVAX-USDT,2026-06-27T15:35:13+00:00,6.637,6.673,6.294,530386.331854,3442374.592761998,below_1d_ema20,bullish,bullish,6.406,6.419,6.688,6.56,6.483,6.412,9.083,5.684,6.673,5.951,6.673; 6.688,6.419; 6.412; 6.294,6.639,6.637,0.002000000000000668,6.645,6.628,0.657,NO,6.673,6.68,6.387,6.688,7.127,38.57,2.02,61.23,0.05,1.59,6.121,6.227,6.312,6.397,6.518,6.673
NEAR-USDT,2026-06-27T15:35:14+00:00,1.899,1.903,1.78,2987166.58208303,5427758.539953689,below_1d_ema20,bullish,bullish,1.917,1.997,2.07,1.843,1.841,1.875,3.086,1.752,2.206,1.752,1.903; 2.033; 2.07,1.875; 1.859; 1.78,1.898,1.897,0.0009999999999998899,1.907,1.895,0.575,WATCH_TRIGGER,1.903,1.905,1.825,2.033,2.07,36.89,61.48,78.98,1.67,2.14,1.859,1.925,1.979,2.033,2.109,2.206
TIA-USDT,2026-06-27T15:35:16+00:00,0.3785,0.3914,0.3647,3054673.533,1160591.06570229,bullish,bullish,bullish,0.3721,0.3716,0.3699,0.3759,0.373,0.3716,0.4379,0.2778,0.411,0.3382,0.3832; 0.3914; 0.3954,0.3716; 0.366; 0.3647,0.3784,0.3783,9.999999999998899e-05,0.3793,0.3775,0.818,NO,0.3832,0.3836,0.3611,0.3914,0.3954,51.91,19.26,28.65,0.37,0.55,0.3554,0.366,0.3746,0.3832,0.3954,0.411
INJ-USDT,2026-06-27T15:35:18+00:00,4.918,5.075,4.636,231687.7296,1125210.2056644,below_1d_ema20,bullish,bullish,4.691,4.794,5.0,4.874,4.762,4.661,7.346,4.035,5.075,4.035,5.0; 5.075,4.794; 4.661; 4.636,4.913,4.912,0.001000000000000334,4.917,4.904,0.488,NO,5.0,5.005,4.7,5.075,5.397,54.0,13.5,71.46,0.25,1.32,4.28,4.432,4.555,4.678,4.852,5.075
SUI-USDT,2026-06-27T15:35:19+00:00,0.7106,0.7176,0.6869,11656638.6354,8183120.25705852,below_1d_ema20,bullish,bullish,0.6994,0.7106,0.7431,0.7042,0.6993,0.697,0.9464,0.6512,0.7448,0.6512,0.7176; 0.7248; 0.7431,0.7106; 0.697; 0.687,0.7108,0.7107,9.999999999998899e-05,0.7114,0.71,0.399,NO,0.7176,0.7183,0.688,0.7248,0.7431,37.12,9.03,31.98,0.24,0.86,0.6733,0.687,0.698,0.709,0.7248,0.7448
DOGE-USDT,2026-06-27T15:35:21+00:00,0.07621,0.07644,0.07458,164021858.563137,12394917.37974678,below_1d_ema20,bullish,bullish,0.07659,0.07898,0.0828,0.0757,0.07556,0.07615,0.1018,0.07137,0.0851,0.07137,0.07644; 0.07986; 0.08216,0.07615; 0.07461; 0.07458,0.07619,0.07618,9.999999999996123e-06,0.07623,0.07609,0.558,WATCH_TRIGGER,0.07644,0.07652,0.07418,0.07986,0.08216,26.61,40.27,67.35,1.51,2.53,0.07461,0.07661,0.07823,0.07986,0.08216,0.0851
